shipname,vessel_type,operational_risk_category_pct,operational_risk_score_final,maintenance_risk_score_norm,predicted_high_traffic,weather_risk_score_norm,vessel_label,vessel_type_encoded
44,,High,0.7169695950265912,0.9872583860622346,1,0.0693069306930693,44,0
33,,High,0.6155409157107095,0.5452023923030251,1,0.1732673267326732,33,0
133,,High,0.3709053027009868,0.6769450684092303,0,0.5594059405940593,133,0
32,,High,,0.6483487908468406,1,,32,0
62,,Low,0.1736731093853815,0.2917816517466514,0,0.2871287128712871,62,0
126,,Low,0.0527093272698071,0.0915393417244396,0,0.0841584158415841,126,0
5,,Medium,0.2725137839493568,0.9083792798311894,0,0.0,5,0
36,,High,0.413360101070348,0.442223439211391,0,0.9356435643564356,36,0
14,,High,,0.2174059365955442,0,,14,0
30,,High,,0.537793632631083,0,,30,0
119,,High,,0.0,0,,119,0
38,,High,,0.0915393417244396,0,,38,0
74,,High,,0.5892845123510804,0,,74,0
25,,High,,0.9780695816975769,0,,25,0
19,,Medium,0.2005766753743196,0.3567077297955868,0,0.3118811881188119,19,0
93,,High,0.2997846731783654,0.989381253828875,0,0.0099009900990099,93,0
143,,High,,0.1144241771555494,0,,143,0
34,,High,0.3474222535422983,0.935301901246605,0,0.2227722772277227,34,0
99,,High,0.2921021327413754,0.6865450629332975,0,0.2871287128712871,99,0
82,,High,0.4437475217535889,0.5435148414888606,0,0.9356435643564356,82,0
10,,High,,0.316434276431569,0,,10,0
64,,Low,0.1733526283906576,0.5778420946355255,0,0.0,64,0
21,,Medium,0.2308029760604326,0.7594422634357657,0,0.0099009900990099,21,0
35,,Low,0.1567749356691262,0.3394148020654045,0,0.1831683168316831,35,0
20,,Low,0.0399224014702879,0.1330746715676264,0,0.0,20,0
45,,Medium,0.253284424828025,0.7898259705488623,0,0.0544554455445544,45,0
2,,High,0.3720069528467477,0.6261617900172118,0,0.6138613861386139,2,0
78,,High,,0.8363453815261045,0,,78,0
3,,Low,0.170445935328888,0.3354798504362277,0,0.2326732673267326,3,0
154,,Low,0.1891974678374515,0.6306582261248385,0,0.0,154,0
70,,Medium,0.202459819920203,0.5263512149155282,0,0.1485148514851485,70,0
97,,Low,0.022564835613641,0.0752161187121366,0,0.0,97,0
73,,High,,0.5580749966156763,0,,73,0
42,,High,,0.4519754997644208,0,,42,0
61,,Low,0.1666326322238105,0.5554421074127017,0,0.0,61,0
157,,Medium,0.2776840223351626,0.8414549919422916,0,0.0841584158415841,157,0
50,,High,0.2923436952704556,0.7566572020566342,0,0.2178217821782178,50,0
122,,Medium,0.2420071346839873,0.8066904489466246,0,0.0,122,0
22,,High,,0.8728094194961666,0,,22,0
138,,High,,0.0572120885777746,0,,138,0
100,,High,,0.0455153949129852,0,,100,0
94,,High,,0.3124361854196447,0,,94,0
41,,Medium,0.2221434240366721,0.5919632286370918,0,0.1485148514851485,41,0
139,,High,,0.5650186954715414,0,,139,0
60,,High,,0.7432013769363168,0,,60,0
67,,High,,0.463855421686747,0,,67,0
48,,High,,0.4044202286854424,0,,48,0
17,,High,,0.5062948422905104,0,,17,0
106,,Medium,0.2669079033148481,0.6966237041188009,0,0.193069306930693,106,0
81,,High,,0.535590638415732,0,,81,0
63,,High,,0.5959430944115446,0,,63,0
7,,Medium,0.235235766261652,0.5910499139414803,0,0.193069306930693,7,0
26,,High,,0.6400602409638555,0,,26,0
0,,Medium,0.2517056176513282,0.8390187255044275,0,0.0,0,0
132,,High,,0.9497206703910616,0,,132,0
55,,Medium,0.2441202579863278,0.6157143913075616,0,0.198019801980198,55,0
148,,High,0.3022509439247701,0.8342358196832274,0,0.1732673267326732,148,0
142,,Medium,0.2711946273891815,0.6168533784259848,0,0.2871287128712871,142,0
102,,Low,0.1134652245345016,0.3782174151150055,0,0.0,102,0
89,,Low,0.1573786335137496,0.3760805935606834,0,0.1485148514851485,89,0
49,,High,0.3013062149588453,0.8855421686746989,0,0.1188118811881188,49,0
31,,Medium,0.2155298375172345,0.7085318016251052,0,0.0099009900990099,31,0
92,,Low,0.038428599692176,0.0686893917131942,0,0.0594059405940594,92,0
141,,Low,0.188526834611172,0.62842278203724,0,0.0,141,0
124,,High,,0.717446055408073,0,,124,0
52,,Medium,0.2467566886263529,0.3027203152231567,0,0.5198019801980198,52,0
46,,High,0.3136565808043799,0.7979971835393523,0,0.2475247524752475,46,0
134,,Low,0.1018714225925349,0.2603634878497039,0,0.0792079207920792,134,0
147,,Low,0.0193846041230628,0.0349123767798465,0,0.0297029702970297,147,0
103,,High,0.3415662650602409,0.1385542168674698,0,1.0,103,0
75,,Low,0.0512048192771084,0.1706827309236947,0,0.0,75,0
40,,Low,0.0215599239061509,0.071866413020503,0,0.0,40,0
27,,Low,0.1926213630399184,0.3549424972617744,0,0.2871287128712871,27,0
47,,Low,0.0912538768937134,0.1408132530120482,0,0.1633663366336633,47,0
113,,High,,0.5001400952647801,0,,113,0
86,,Medium,0.1985411379316995,0.1717047832046749,0,0.4900990099009901,86,0
83,,High,,0.7724612736660931,0,,83,0
98,,Medium,0.2767480498310992,0.9175430043874924,0,0.0049504950495049,98,0
58,,High,,0.0060958118187033,0,,58,0
53,,Low,0.1285140562248996,0.428380187416332,0,0.0,53,0
39,,Low,0.0291673021198718,0.0972243403995729,0,0.0,39,0
13,,Low,0.1203762418093426,0.4012541393644754,0,0.0,13,0
54,,Low,0.144578313253012,0.4819277108433735,0,0.0,54,0
116,,Medium,0.2066812705366922,0.6889375684556408,0,0.0,116,0
108,,High,,0.6686746987951808,0,,108,0
71,,Low,0.1787829283234633,0.5959430944115446,0,0.0,71,0
37,,High,,0.6748380806462847,0,,37,0
158,,High,0.4940393151553582,0.6467977171845276,0,1.0,158,0
111,,High,,0.7951807228915664,0,,111,0
9,,High,0.3274951610979209,0.9183832102603964,0,0.1732673267326732,9,0
76,,Low,0.1473261466920312,0.4910871556401042,0,0.0,76,0
16,,Low,0.1688860705981822,0.5629535686606074,0,0.0,16,0
12,,Medium,0.2707827372953582,0.684787342139643,0,0.2178217821782178,12,0
135,,Low,0.1287785874035062,0.4292619580116874,0,0.0,135,0
123,,High,,0.8895008605851981,0,,123,0
95,,High,,0.0,0,,95,0
155,,Low,0.1218008127183289,0.4060027090610965,0,0.0,155,0
152,,High,,0.0774026337909778,0,,152,0
59,,High,,0.3915662650602409,0,,59,0
57,,Low,0.1902163225519101,0.6241534184073574,0,0.0099009900990099,57,0
153,,Low,0.1832899780941949,0.6109665936473166,0,0.0,153,0
150,,High,,0.1325301204819277,0,,150,0
112,,High,,0.2917123037604965,0,,112,0
87,,Medium,0.264599704860157,0.644375253824286,0,0.2376237623762376,87,0
51,,Low,0.173241744264425,0.5675714907824069,0,0.0099009900990099,51,0
23,,High,,0.0572120885777746,0,,23,0
8,,Low,0.1692518577303225,0.5641728591010751,0,0.0,8,0
131,,High,,0.4430079870041966,0,,131,0
120,,Medium,0.2664534496352956,0.7743167793123715,0,0.1138613861386138,120,0
114,,Low,0.1699510914946916,0.5120481927710844,0,0.0544554455445544,114,0
107,,Low,0.1171721991476256,0.2420591456736034,0,0.1485148514851485,107,0
6,,High,,0.0411992798781331,0,,6,0
140,,Low,0.1301204819277108,0.4337349397590362,0,0.0,140,0
129,,High,,0.602044541803578,0,,129,0
68,,Low,0.1795091818797701,0.4250966128665606,0,0.1732673267326732,68,0
66,,High,,0.7522683325896179,0,,66,0
18,,Low,0.068893756845564,0.2296458561518802,0,0.0,18,0
151,,High,,0.6506024096385543,0,,151,0
146,,High,0.2884954451954158,0.9616514839847194,0,0.0,146,0
145,,High,0.4739730004354768,0.5799100014515897,0,1.0,145,0
136,,High,,0.5999144507022173,0,,136,0
110,,High,,0.0496531580868929,0,,110,0
101,,Low,0.0614457831325301,0.2048192771084337,0,0.0,101,0
72,,High,,0.228990496146075,0,,72,0
15,,High,,0.3661920408908361,0,,15,0
156,,High,,0.9414053730449752,0,,156,0
144,,Low,0.0208612226684515,0.0695374088948385,0,0.0,144,0
117,,Low,0.0036144578313252,0.0120481927710842,0,0.0,117,0
69,,High,,1.0,0,,69,0
65,,Medium,0.2479391249207355,0.8264637497357853,0,0.0,65,0
11,,Medium,0.2372273905749581,0.7907579685831937,0,0.0,11,0
130,,High,,0.8607435878483259,0,,130,0
90,,High,,0.5057266101442808,0,,90,0
84,,Low,0.1365461847389558,0.4551539491298528,0,0.0,84,0
28,,High,,0.8329317269076306,0,,28,0
24,,Medium,0.259522562298885,0.8650752076629501,0,0.0,24,0
105,,High,,0.9453197405004636,0,,105,0
104,,High,,0.3392319277108434,0,,104,0
91,,High,,0.7555833088451367,0,,91,0
