shipname,vessel_type,operational_risk_category_pct,operational_risk_score_final,maintenance_risk_score_norm,predicted_high_traffic,weather_risk_score_norm
44,,High,0.7169695950265912,0.9872583860622346,1,0.0693069306930693
33,,High,0.6155409157107095,0.5452023923030251,1,0.1732673267326732
133,,High,0.37090530270098687,0.6769450684092303,0,0.5594059405940593
32,,High,,0.6483487908468406,1,
62,,Low,0.17367310938538155,0.29178165174665144,0,0.2871287128712871
126,,Low,0.05270932726980713,0.09153934172443967,0,0.0841584158415841
5,,Medium,0.2725137839493568,0.9083792798311894,0,0.0
36,,High,0.413360101070348,0.44222343921139107,0,0.9356435643564356
14,,High,,0.21740593659554422,0,
30,,High,,0.537793632631083,0,
119,,High,,0.0,0,
38,,High,,0.09153934172443967,0,
74,,High,,0.5892845123510804,0,
25,,High,,0.9780695816975769,0,
19,,Medium,0.2005766753743196,0.35670772979558685,0,0.3118811881188119
93,,High,0.29978467317836544,0.989381253828875,0,0.0099009900990099
143,,High,,0.11442417715554949,0,
34,,High,0.3474222535422983,0.935301901246605,0,0.2227722772277227
99,,High,0.2921021327413754,0.6865450629332975,0,0.2871287128712871
82,,High,0.4437475217535889,0.5435148414888606,0,0.9356435643564356
10,,High,,0.316434276431569,0,
64,,Low,0.17335262839065765,0.5778420946355255,0,0.0
21,,Medium,0.23080297606043268,0.7594422634357657,0,0.0099009900990099
35,,Low,0.15677493566912626,0.3394148020654045,0,0.1831683168316831
20,,Low,0.039922401470287916,0.1330746715676264,0,0.0
45,,Medium,0.253284424828025,0.7898259705488623,0,0.0544554455445544
2,,High,0.3720069528467477,0.6261617900172118,0,0.6138613861386139
78,,High,,0.8363453815261045,0,
3,,Low,0.17044593532888808,0.3354798504362277,0,0.2326732673267326
154,,Low,0.18919746783745153,0.6306582261248385,0,0.0
70,,Medium,0.202459819920203,0.5263512149155282,0,0.1485148514851485
97,,Low,0.022564835613641,0.07521611871213667,0,0.0
73,,High,,0.5580749966156763,0,
42,,High,,0.45197549976442086,0,
61,,Low,0.1666326322238105,0.5554421074127017,0,0.0
157,,Medium,0.27768402233516265,0.8414549919422916,0,0.0841584158415841
50,,High,0.2923436952704556,0.7566572020566342,0,0.2178217821782178
122,,Medium,0.24200713468398735,0.8066904489466246,0,0.0
22,,High,,0.8728094194961666,0,
138,,High,,0.05721208857777469,0,
100,,High,,0.04551539491298523,0,
94,,High,,0.31243618541964474,0,
41,,Medium,0.2221434240366721,0.5919632286370918,0,0.1485148514851485
139,,High,,0.5650186954715414,0,
60,,High,,0.7432013769363168,0,
67,,High,,0.463855421686747,0,
48,,High,,0.4044202286854424,0,
