shipname,avg_speed_knots
28,12.14
54,11.12
128,11.03
53,11.02
45,10.96
46,10.88
9,10.34
43,10.33
48,9.65
50,9.47
157,9.35
4,9.20
39,9.01
11,8.92
137,8.90
88,8.73
79,8.73
77,8.68
68,8.66
121,8.63
52,8.62
149,8.40
104,8.35
47,8.16
85,8.13
156,8.08
72,7.97
125,7.77
24,7.70
115,7.50
66,7.35
90,7.32
144,7.30
55,7.25
96,7.15
109,7.03
130,7.02
80,6.93
91,6.73
120,6.71
127,6.67
146,6.64
92,6.56
129,6.44
18,6.40
116,6.36
29,6.33
101,6.31
110,6.27
107,6.27
15,6.24
112,6.19
51,6.01
12,5.95
145,5.86
114,5.81
0,5.78
86,5.56
8,5.46
135,5.33
58,4.94
105,4.80
155,4.62
57,4.53
136,4.51
103,4.45
140,4.45
150,4.44
69,4.40
108,4.33
111,4.32
117,4.28
49,4.19
59,4.19
67,4.14
151,4.13
13,4.00
158,3.98
16,3.96
142,3.95
40,3.90
65,3.87
84,3.84
76,3.72
152,3.58
106,3.50
113,3.39
31,3.38
37,3.07
98,3.02
41,3.01
34,2.90
95,2.88
3,2.80
75,2.75
81,2.75
6,2.70
139,2.53
7,2.39
123,2.32
35,2.30
2,2.28
83,2.21
60,2.10
141,1.99
36,1.98
27,1.91
102,1.86
22,1.81
153,1.80
147,1.77
26,1.71
134,1.61
63,1.57
89,1.49
20,1.49
124,1.49
5,1.40
71,1.39
97,1.39
154,1.38
93,1.32
61,1.28
94,1.28
133,1.26
131,1.20
17,1.11
148,1.10
19,1.06
73,1.02
87,0.86
21,0.84
25,0.83
10,0.81
122,0.77
62,0.74
132,0.72
64,0.72
138,0.68
126,0.67
74,0.65
99,0.64
33,0.62
30,0.61
82,0.60
70,0.59
32,0.56
143,0.48
14,0.46
38,0.44
44,0.44
42,0.43
23,0.42
100,0.39
78,0.36
56,0.35
119,0.33
118,0.10
