shipname,visits
44,247
33,237
133,197
32,193
62,145
126,126
5,106
36,97
14,89
30,83
119,80
38,79
74,78
25,77
19,75
93,73
143,72
34,72
99,69
82,69
10,69
64,64
21,60
35,58
20,58
45,56
2,56
78,55
3,54
154,50
70,50
97,48
73,46
42,46
61,43
157,41
50,40
122,39
22,39
138,38
100,38
94,37
41,37
139,36
60,36
67,35
48,34
17,33
106,32
81,32
63,32
7,31
26,30
0,30
132,29
55,29
148,28
142,28
102,28
89,28
49,28
31,27
92,25
141,24
124,24
52,24
46,24
134,23
147,22
103,22
75,22
40,22
27,22
47,21
113,20
86,20
83,19
98,18
58,18
53,17
39,17
13,17
54,16
116,15
108,15
71,15
37,15
158,14
111,14
9,14
76,13
16,13
12,13
135,12
123,12
95,12
155,11
152,11
59,11
57,11
153,10
150,10
112,10
87,10
51,10
23,10
8,10
131,9
120,9
114,9
107,9
6,9
140,8
129,8
68,8
66,8
18,8
151,7
146,7
145,7
136,7
110,7
101,7
72,7
15,7
156,6
144,6
117,6
69,6
65,6
11,6
130,5
90,5
84,5
28,5
24,5
105,4
104,4
91,4
77,4
56,4
29,4
149,3
128,3
127,3
125,3
121,3
118,3
115,3
109,3
88,3
85,3
80,3
79,3
43,3
96,2
4,2
137,1
