shipname,avg_speed_knots,avg_wind_speed,avg_precipitation
70,10.30,25.09,0.30
0,8.80,8.78,0.00
9,8.60,10.95,0.35
89,8.60,25.09,0.30
45,8.49,14.54,0.11
135,8.20,8.37,0.00
2,8.00,15.94,1.24
76,7.80,7.79,0.00
77,7.70,24.85,0.58
31,7.60,6.58,0.02
61,7.50,7.92,0.00
50,7.44,12.35,0.44
46,7.40,19.40,0.50
64,7.30,9.58,0.00
92,7.20,9.04,0.12
116,7.20,25.89,0.00
133,7.08,13.43,1.13
157,6.92,15.16,0.17
154,6.85,9.58,0.00
97,6.73,9.05,0.00
33,6.70,10.95,0.35
47,6.70,9.41,0.33
155,6.60,7.79,0.00
36,6.50,25.73,1.89
84,6.50,7.59,0.00
107,6.50,25.09,0.30
39,6.40,7.92,0.00
85,6.40,15.45,0.00
106,6.37,12.55,0.39
40,6.30,18.67,0.00
158,6.30,16.15,2.02
115,6.20,7.59,0.00
12,6.20,24.97,0.44
93,6.20,6.58,0.02
146,6.00,7.59,0.00
62,6.00,24.85,0.58
144,6.00,5.67,0.00
3,6.00,15.74,0.47
13,6.00,7.04,0.00
102,5.90,7.79,0.00
49,5.80,20.82,0.24
142,5.80,24.85,0.58
86,5.80,14.77,0.99
65,5.70,8.37,0.00
11,5.70,5.67,0.00
140,5.60,8.37,0.00
51,5.50,6.58,0.02
153,5.40,9.58,0.00
18,5.30,8.82,0.00
68,5.30,10.95,0.35
79,5.20,24.85,0.58
103,5.00,16.15,2.02
8,5.00,5.67,0.00
141,4.90,15.45,0.00
27,4.90,24.85,0.58
148,4.80,10.95,0.35
145,4.80,16.15,2.02
149,4.80,25.09,0.30
75,4.70,7.04,0.00
126,4.55,13.20,0.17
54,4.47,8.26,0.00
53,3.95,7.22,0.00
114,3.90,11.71,0.11
52,3.51,13.87,1.05
57,3.30,6.58,0.02
101,3.10,5.66,0.00
80,3.10,7.92,0.00
147,3.00,9.15,0.06
120,2.70,21.08,0.23
34,2.61,16.50,0.45
125,2.60,8.37,0.00
16,2.40,8.37,0.00
41,2.35,13.10,0.30
55,2.22,15.09,0.40
35,1.00,10.94,0.37
19,0.95,29.85,0.63
134,0.85,22.62,0.16
20,0.80,7.78,0.00
21,0.76,7.65,0.02
98,0.60,6.81,0.01
127,0.60,7.79,0.00
122,0.43,5.98,0.00
7,0.40,21.46,0.39
44,0.39,15.71,0.14
71,0.35,8.55,0.00
117,0.27,23.16,0.00
87,0.14,25.85,0.48
56,0.13,10.95,0.35
99,0.13,33.20,0.58
82,0.10,25.73,1.89
24,0.10,6.02,0.00
5,0.10,15.45,0.00
29,0.10,25.09,0.30
118,0.10,9.58,0.00
