MessageType,AisVersion,CallSign,Destination,DimensionA,DimensionB,DimensionC,DimensionD,Dte,EtaDay,EtaHour,EtaMinute,EtaMonth,FixType,ImoNumber,MaximumStaticDraught,MessageID,Name,RepeatIndicator,Spare,ShipType,Message.ShipStaticData.UserID,Valid,MMSI,ShipName,MetaData.latitude,MetaData.longitude,timestamp,Geom,ShipCommonDataID,Rounded_time,index,Cog,CommunicationState,Latitude,Longitude,NavigationalStatus,PositionAccuracy,Raim,RateOfTurn,speed,SpecialManoeuvreIndicator,Timestamp,TrueHeading,UserID
PositionReport,1.0,0,0,132.0,16.0,12.0,12.0,False,4.0,8.0,30.0,10.0,1.0,0,6.2,1,0,0,0,79.0,0,True,0,0,43.50969833333333,10.242995,2023-10-04 08:44:15.133495567,POINT(10.242995 43.50969833333333),0,2023-10-04 08:30:00+00:00,31489.0,46.0,59916.0,43.50969833333333,10.242995,0.0,True,False,0.0,5.7,0.0,13.0,44.0,0
PositionReport,1.0,0,0,132.0,16.0,12.0,12.0,False,4.0,8.0,30.0,10.0,1.0,0,6.2,3,0,0,0,79.0,0,True,0,0,43.54313833333333,10.291088333333333,2023-10-04 09:14:59.762441313,POINT(10.291088333333333 43.54313833333333),1,2023-10-04 09:00:00+00:00,8686.0,10.2,59916.0,43.54313833333333,10.291088333333333,0.0,False,False,0.0,8.8,0.0,57.0,3.0,0
PositionReport,1.0,0,0,132.0,16.0,12.0,12.0,False,4.0,8.0,30.0,10.0,1.0,0,6.2,1,0,0,0,79.0,0,True,0,0,43.568023333333336,10.306603333333332,2023-10-04 09:32:25.442220340,POINT(10.306603333333333 43.568023333333336),2,2023-10-04 09:30:00+00:00,35261.0,347.8,59916.0,43.568023333333336,10.306603333333332,0.0,False,False,127.0,1.9,0.0,23.0,24.0,0
PositionReport,1.0,0,0,132.0,16.0,12.0,12.0,False,4.0,8.0,30.0,10.0,1.0,0,6.2,3,0,0,0,79.0,0,True,0,0,43.57463666666667,10.304343333333332,2023-10-04 10:14:25.102256816,POINT(10.304343333333332 43.57463666666667),3,2023-10-04 10:00:00+00:00,28491.0,172.0,59916.0,43.57463666666667,10.304343333333332,5.0,True,False,0.0,0.0,0.0,23.0,172.0,0
PositionReport,1.0,0,0,132.0,16.0,12.0,12.0,False,4.0,8.0,30.0,10.0,1.0,0,6.2,3,0,0,0,79.0,0,True,0,0,43.57461166666667,10.304363333333333,2023-10-04 10:44:23.748743073,POINT(10.304363333333333 43.57461166666667),4,2023-10-04 10:30:00+00:00,4546.0,172.0,59916.0,43.57461166666667,10.304363333333333,5.0,True,False,0.0,0.0,0.0,21.0,172.0,0
PositionReport,1.0,0,0,132.0,16.0,12.0,12.0,False,4.0,8.0,30.0,10.0,1.0,0,6.2,3,0,0,0,79.0,0,True,0,0,43.57462,10.304366666666663,2023-10-04 11:02:23.947680250,POINT(10.304366666666665 43.574619999999996),5,2023-10-04 11:00:00+00:00,31839.0,172.0,59916.0,43.57462,10.304366666666663,5.0,True,False,0.0,0.0,0.0,22.0,172.0,0
PositionReport,1.0,0,0,132.0,16.0,12.0,12.0,False,4.0,8.0,30.0,10.0,1.0,0,6.2,3,0,0,0,79.0,0,True,0,0,43.574625,10.304346666666667,2023-10-04 11:26:23.910558285,POINT(10.304346666666667 43.574625),6,2023-10-04 11:30:00+00:00,33392.0,172.0,59916.0,43.574625,10.304346666666667,5.0,True,False,0.0,0.0,0.0,22.0,172.0,0
PositionReport,1.0,0,0,132.0,16.0,12.0,12.0,False,4.0,8.0,30.0,10.0,1.0,0,6.2,3,0,0,0,79.0,0,True,0,0,43.574623333333335,10.304353333333331,2023-10-04 12:11:24.074907823,POINT(10.304353333333333 43.574623333333335),7,2023-10-04 12:00:00+00:00,32274.0,173.0,59916.0,43.574623333333335,10.304353333333331,5.0,True,False,0.0,0.0,0.0,22.0,173.0,0
PositionReport,1.0,0,0,132.0,16.0,12.0,12.0,False,4.0,8.0,30.0,10.0,1.0,0,6.2,3,0,0,0,79.0,0,True,0,0,43.57462833333333,10.304353333333331,2023-10-04 12:44:23.244122142,POINT(10.304353333333333 43.57462833333333),8,2023-10-04 12:30:00+00:00,12447.0,172.0,59916.0,43.57462833333333,10.304353333333331,5.0,True,False,0.0,0.0,0.0,22.0,172.0,0
PositionReport,1.0,0,0,132.0,16.0,12.0,12.0,False,4.0,8.0,30.0,10.0,1.0,0,6.2,3,0,0,0,79.0,0,True,0,0,43.574625,10.304353333333331,2023-10-04 13:12:23.458280757,POINT(10.304353333333333 43.574625),9,2023-10-04 13:00:00+00:00,19596.0,172.0,59916.0,43.574625,10.304353333333331,5.0,True,False,0.0,0.0,0.0,22.0,172.0,0
PositionReport,1.0,0,0,132.0,16.0,12.0,12.0,False,4.0,8.0,30.0,10.0,1.0,0,6.2,3,0,0,0,79.0,0,True,0,0,43.57462666666667,10.30435,2023-10-04 13:21:23.027784740,POINT(10.30435 43.57462666666667),10,2023-10-04 13:30:00+00:00,32882.0,172.0,59916.0,43.57462666666667,10.30435,5.0,True,False,0.0,0.0,0.0,21.0,172.0,0
PositionReport,1.0,0,0,132.0,16.0,12.0,12.0,False,4.0,8.0,30.0,10.0,1.0,0,6.2,3,0,0,0,79.0,0,True,0,0,43.57463166666666,10.304356666666669,2023-10-04 14:06:23.825216969,POINT(10.304356666666667 43.57463166666666),11,2023-10-04 14:00:00+00:00,32170.0,173.0,59916.0,43.57463166666666,10.304356666666669,5.0,True,False,0.0,0.0,0.0,23.0,173.0,0
PositionReport,1.0,0,0,132.0,16.0,12.0,12.0,False,4.0,8.0,30.0,10.0,1.0,0,6.2,3,0,0,0,79.0,0,True,0,0,43.574635,10.304345,2023-10-04 14:30:23.226487373,POINT(10.304345000000001 43.574634999999994),12,2023-10-04 14:30:00+00:00,33812.0,173.0,59916.0,43.574635,10.304345,5.0,True,False,0.0,0.0,0.0,22.0,173.0,0
