time,temperature_2m,wind_speed_10m,wind_direction_10m,surface_pressure,precipitation,weather_code,latitude,longitude
2023-10-01T00:00,18.1,3.2,90,1021.7,0.0,2,43.55,10.3
2023-10-01T01:00,18.5,4.9,107,1021.7,0.0,2,43.55,10.3
2023-10-01T02:00,17.7,7.0,102,1021.8,0.0,3,43.55,10.3
2023-10-01T03:00,17.2,8.7,95,1021.8,0.0,3,43.55,10.3
2023-10-01T04:00,16.5,10.8,88,1022.0,0.0,3,43.55,10.3
2023-10-01T05:00,15.8,11.5,90,1022.0,0.0,3,43.55,10.3
2023-10-01T06:00,15.8,13.0,84,1022.4,0.0,1,43.55,10.3
2023-10-01T07:00,17.1,13.9,80,1022.8,0.0,0,43.55,10.3
2023-10-01T08:00,20.5,12.3,69,1023.2,0.0,0,43.55,10.3
2023-10-01T09:00,23.8,11.3,63,1023.4,0.0,0,43.55,10.3
2023-10-01T10:00,26.3,8.6,57,1023.4,0.0,0,43.55,10.3
2023-10-01T11:00,27.6,7.0,12,1023.3,0.0,0,43.55,10.3
2023-10-01T12:00,27.5,7.4,337,1023.0,0.0,0,43.55,10.3
2023-10-01T13:00,26.7,12.0,321,1022.7,0.0,0,43.55,10.3
2023-10-01T14:00,26.0,12.3,322,1022.2,0.0,0,43.55,10.3
2023-10-01T15:00,25.2,10.9,326,1022.0,0.0,0,43.55,10.3
2023-10-01T16:00,23.9,9.2,334,1022.1,0.0,0,43.55,10.3
2023-10-01T17:00,22.1,6.1,320,1022.3,0.0,0,43.55,10.3
2023-10-01T18:00,20.4,8.0,306,1022.7,0.0,0,43.55,10.3
2023-10-01T19:00,21.6,4.0,243,1023.1,0.0,0,43.55,10.3
2023-10-01T20:00,21.3,3.9,214,1023.5,0.0,0,43.55,10.3
2023-10-01T21:00,21.5,3.3,77,1023.8,0.0,0,43.55,10.3
2023-10-01T22:00,19.1,3.2,90,1023.9,0.0,0,43.55,10.3
2023-10-01T23:00,17.7,8.3,95,1024.1,0.0,0,43.55,10.3
2023-10-02T00:00,16.8,9.7,86,1024.1,0.0,0,43.55,10.3
2023-10-02T01:00,16.8,9.8,84,1024.0,0.0,0,43.55,10.3
2023-10-02T02:00,16.7,12.7,83,1023.9,0.0,0,43.55,10.3
2023-10-02T03:00,16.8,14.0,90,1023.8,0.0,1,43.55,10.3
2023-10-02T04:00,16.6,13.3,87,1023.9,0.0,0,43.55,10.3
2023-10-02T05:00,16.2,14.1,86,1023.9,0.0,0,43.55,10.3
2023-10-02T06:00,16.6,14.0,91,1024.3,0.0,0,43.55,10.3
2023-10-02T07:00,18.5,14.0,89,1024.4,0.0,0,43.55,10.3
2023-10-02T08:00,21.5,10.9,82,1025.1,0.0,0,43.55,10.3
2023-10-02T09:00,24.6,8.4,80,1025.0,0.0,0,43.55,10.3
2023-10-02T10:00,26.9,5.1,86,1024.9,0.0,0,43.55,10.3
2023-10-02T11:00,27.7,2.2,270,1024.4,0.0,0,43.55,10.3
2023-10-02T12:00,27.7,6.2,277,1024.2,0.0,0,43.55,10.3
2023-10-02T13:00,27.2,10.8,285,1023.7,0.0,0,43.55,10.3
2023-10-02T14:00,26.5,11.4,294,1023.3,0.0,0,43.55,10.3
2023-10-02T15:00,25.8,9.1,304,1023.0,0.0,0,43.55,10.3
2023-10-02T16:00,24.6,7.5,305,1022.9,0.0,0,43.55,10.3
2023-10-02T17:00,22.0,5.0,300,1023.0,0.0,0,43.55,10.3
2023-10-02T18:00,20.8,5.9,256,1023.5,0.0,0,43.55,10.3
2023-10-02T19:00,20.9,4.9,216,1023.7,0.0,0,43.55,10.3
2023-10-02T20:00,20.2,5.4,217,1024.1,0.0,0,43.55,10.3
2023-10-02T21:00,19.2,6.7,196,1024.1,0.0,2,43.55,10.3
2023-10-02T22:00,18.7,4.8,167,1024.1,0.0,1,43.55,10.3
2023-10-02T23:00,18.1,5.8,158,1024.1,0.0,3,43.55,10.3
2023-10-03T00:00,17.3,4.3,138,1024.0,0.0,3,43.55,10.3
2023-10-03T01:00,17.4,4.6,141,1023.8,0.0,3,43.55,10.3
2023-10-03T02:00,17.9,3.7,119,1023.4,0.0,3,43.55,10.3
2023-10-03T03:00,16.5,4.7,90,1023.1,0.0,3,43.55,10.3
2023-10-03T04:00,16.7,3.6,90,1023.1,0.0,3,43.55,10.3
2023-10-03T05:00,16.4,4.0,95,1023.1,0.0,3,43.55,10.3
2023-10-03T06:00,16.6,6.5,96,1023.1,0.0,3,43.55,10.3
2023-10-03T07:00,18.1,6.5,96,1023.3,0.0,3,43.55,10.3
2023-10-03T08:00,20.7,5.6,105,1023.6,0.0,2,43.55,10.3
