,MessageType,AisVersion,CallSign,Destination,DimensionA,DimensionB,DimensionC,DimensionD,Dte,EtaDay,EtaHour,EtaMinute,EtaMonth,FixType,ImoNumber,MaximumStaticDraught,MessageID,Name,RepeatIndicator,Spare,ShipType,Message.ShipStaticData.UserID,Valid,MMSI,ShipName,MetaData.latitude,MetaData.longitude,timestamp,Geom,ShipCommonDataID,Rounded_time,index,Cog,CommunicationState,Latitude,Longitude,NavigationalStatus,PositionAccuracy,Raim,RateOfTurn,speed,SpecialManoeuvreIndicator,Timestamp,TrueHeading,UserID
count,19700,19700.0,19700.0,19700.0,19700.0,19700.0,19700.0,19700.0,19700,19700.0,19700.0,19700.0,19700.0,19700.0,19700.0,19700.0,19700.0,19700.0,19700.0,19700.0,19700.0,19700.0,19700,19700.0,19700.0,19700.0,19700.0,19700,19700,19700.0,19700,19700.0,19700.0,19700.0,19700.0,19700.0,19700.0,19700,19700,19700.0,19700.0,19700.0,19700.0,19700.0,19700.0
unique,1,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,17170,,1064,,,,,,,2,2,,,,,,
top,PositionReport,,,,,,,,False,,,,,,,,,,,,,,True,,,,,,POINT(10.298 43.5525),,2023-10-28 23:30:00+00:00,,,,,,,False,False,,,,,,
freq,19700,,,,,,,,19668,,,,,,,,,,,,,,19700,,,,,,90,,30,,,,,,,9959,16752,,,,,,
mean,,1.276294416243655,66.05492385786802,22.011167512690356,111.88111675126903,45.92258883248731,11.803959390862945,13.336395939086295,,13.940355329949238,12.106040609137056,6.379441624365482,9.488274111675127,1.1906091370558376,66.00482233502538,6.995172588832487,2.620913705583756,66.00482233502538,0.0,0.010558375634517767,77.73857868020305,66.00482233502538,,66.00482233502538,66.00482233502538,43.54554055913705,10.293840227326564,2023-10-15 16:11:32.034591744,,9849.5,,11528.359898477158,177.7342538071066,59916.0,43.54554055913705,10.293840227326564,3.100507614213198,,,-0.4671065989847716,0.587741116751269,0.009898477157360405,30.109390862944164,198.48578680203045,66.00482233502538
min,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,0.0,,0.0,0.0,43.38368333333334,10.121,2023-10-01 00:10:11.569200651,,0.0,,0.0,0.0,59916.0,43.38368333333334,10.121,0.0,,,-128.0,0.0,0.0,0.0,0.0,0.0
25%,,1.0,34.0,2.0,56.0,19.0,7.0,9.0,,6.0,5.0,0.0,9.0,1.0,34.0,5.2,3.0,34.0,0.0,0.0,71.0,34.0,,34.0,34.0,43.50766791666666,10.288656249999999,2023-10-06 07:12:53.738272256,,4924.75,,1515.0,64.6,59916.0,43.50766791666666,10.288656249999999,1.0,,,0.0,0.0,0.0,15.0,173.0,34.0
50%,,2.0,52.0,4.0,103.0,29.0,11.0,11.0,,10.0,13.0,0.0,10.0,1.0,52.0,6.9,3.0,52.0,0.0,0.0,80.0,52.0,,52.0,52.0,43.56155666666667,10.299771666666668,2023-10-15 00:30:53.020990976,,9849.5,,2948.5,178.0,59916.0,43.56155666666667,10.299771666666668,5.0,,,0.0,0.0,0.0,31.0,195.0,52.0
75%,,2.0,99.0,34.0,143.0,50.0,16.0,17.0,,21.0,19.0,0.0,10.0,1.0,99.0,9.0,3.0,99.0,0.0,0.0,81.0,99.0,,99.0,99.0,43.57620333333333,10.306225416666667,2023-10-25 16:17:45.258341632,,14774.25,,27521.75,286.0,59916.0,43.57620333333333,10.306225416666667,5.0,,,0.0,0.1,0.0,46.0,229.0,99.0
max,,2.0,159.0,138.0,260.0,192.0,33.0,39.0,,31.0,23.0,45.0,11.0,15.0,158.0,13.4,3.0,158.0,0.0,2.0,89.0,158.0,,158.0,158.0,43.58452666666667,10.328333333333337,2023-10-30 23:54:44.306174630,,19699.0,,35958.0,360.0,59916.0,43.58452666666667,10.328333333333337,8.0,,,127.0,19.7,1.0,60.0,511.0,158.0
std,,0.8295867023860523,43.146970079911696,33.916731333604616,60.196302890973186,42.01505906797204,7.015110966734843,7.4038559071682455,,9.180754544061674,7.3646215586024635,12.594558684816873,1.0726749606173511,1.5284376883317208,43.04687892944955,2.3941519579606663,0.7838988219010093,43.04687892944955,0.0,0.1449356349714728,6.109936201131717,43.04687892944955,,43.04687892944955,43.04687892944955,0.04039171182189827,0.02797084897950896,,,5687.044487253463,,13268.43622462391,116.73093507676177,0.0,0.04039171182189827,0.02797084897950896,2.231272581977813,,,15.5859213544805,2.265301506927938,0.098999973837133,17.718210537567096,86.63331217980087,43.04687892944955
